Generation,Makespan
1,2606
2,2530
3,2530
4,2523
5,2449
6,2449
7,2431
8,2431
9,2429
10,2429
11,2408
12,2408
13,2408
14,2408
15,2397
16,2395
17,2395
18,2395
19,2391
20,2391
21,2391
22,2391
23,2391
24,2379
25,2379
26,2379
27,2379
28,2379
29,2373
30,2373
31,2373
32,2373
33,2373
34,2369
35,2369
36,2369
37,2369
38,2369
39,2369
40,2369
41,2369
42,2369
43,2369
44,2369
45,2369
46,2369
47,2369
48,2369
49,2369
50,2369
51,2369
52,2369
53,2369
54,2369
55,2369

