Generation,Makespan
1,2579
2,2521
3,2482
4,2482
5,2425
6,2425
7,2425
8,2405
9,2405
10,2405
11,2395
12,2395
13,2395
14,2382
15,2382
16,2380
17,2380
18,2380
19,2380
20,2380
21,2380
22,2379
23,2379
24,2379
25,2379
26,2379
27,2360
28,2360
29,2360
30,2360
31,2349
32,2349
33,2349
34,2349
35,2349
36,2349
37,2349
38,2349
39,2349
40,2349
41,2349
42,2349
43,2349
44,2349
45,2349
46,2349
47,2349
48,2349
49,2349
50,2349
51,2349
52,2349

